       x       1       2       3       4       5       6
   -33.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -32.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -31.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -30.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -29.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -28.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -27.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -26.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -25.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -24.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -23.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -22.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -21.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -20.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -19.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -18.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -17.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -16.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -15.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -14.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -13.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -12.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -11.4     0.0     0.0     0.0     0.0    -1.0    -0.0
   -10.4     0.0     0.0     0.0     0.0    -1.0    -0.1
    -9.4     0.0     0.0     0.1     0.0    -1.0    -0.1
    -8.4     0.0     0.0     0.1     0.0    -1.0    -0.1
    -7.4     0.0     0.0     0.1     0.0    -1.0    -0.2
    -6.4     0.0     0.0     0.1     0.0    -1.0    -0.3
    -5.4     0.0     0.0     0.1     0.0    -1.0    -0.3
    -4.4     0.0     0.0     0.1     0.0    -1.0    -0.4
    -3.4     0.0     0.0     0.1     0.0    -1.0    -0.5
    -2.4     0.0     0.0     0.2     0.0    -1.0    -0.6
    -1.4     0.0     0.0     0.3     0.1    -0.9    -0.5
